                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.86938,                0.87426,                 1.0891,                0.91908,                0.99484,                  0.995,                0.70865,                 1.0283,                0.65766,                 1.2227,             0.00024141,             0.00024141,             0.00024141
                     92,                0.89175,                0.87096,                 1.0588,                0.90977,                      1,                  0.995,                0.69561,                 1.0113,                 0.6413,                 1.2124,             0.00023481,             0.00023481,             0.00023481
                     93,                0.90948,                0.90895,                 1.0866,                0.90977,                      1,                  0.995,                0.69561,                 1.0113,                 0.6413,                 1.2124,             0.00022825,             0.00022825,             0.00022825
                     94,                0.90826,                0.84382,                 1.0453,                0.90977,                      1,                  0.995,                0.69561,                 1.0113,                 0.6413,                 1.2124,             0.00022175,             0.00022175,             0.00022175
                     95,                0.93845,                0.88291,                 1.0417,                0.90976,                      1,                  0.995,                 0.7034,                 1.0181,                0.62655,                 1.2109,             0.00021529,             0.00021529,             0.00021529
                     96,                0.87383,                0.85822,                 1.0516,                0.90976,                      1,                  0.995,                 0.7034,                 1.0181,                0.62655,                 1.2109,             0.00020889,             0.00020889,             0.00020889
                     97,                0.98296,                0.92588,                 1.1253,                0.91419,                      1,                  0.995,                0.70402,                 1.0145,                0.63291,                 1.2072,             0.00020254,             0.00020254,             0.00020254
                     98,                0.93819,                0.83323,                 1.0572,                0.91419,                      1,                  0.995,                0.70402,                 1.0145,                0.63291,                 1.2072,             0.00019626,             0.00019626,             0.00019626
                     99,                0.91804,                0.82726,                 1.0958,                0.91419,                      1,                  0.995,                0.70402,                 1.0145,                0.63291,                 1.2072,             0.00019003,             0.00019003,             0.00019003
                    100,                0.89241,                0.83071,                 1.0449,                0.92133,                      1,                  0.995,                0.70236,                 1.0206,                0.65036,                 1.2107,             0.00018387,             0.00018387,             0.00018387
                    101,                0.87865,                0.81995,                  1.054,                0.92133,                      1,                  0.995,                0.70236,                 1.0206,                0.65036,                 1.2107,             0.00017778,             0.00017778,             0.00017778
                    102,                0.84847,                 0.8733,                 1.0592,                0.92133,                      1,                  0.995,                0.70236,                 1.0206,                0.65036,                 1.2107,             0.00017175,             0.00017175,             0.00017175
                    103,                0.89932,                0.82704,                 1.0742,                0.91884,                0.98734,                  0.995,                0.69419,                 1.0244,                0.66549,                 1.2125,              0.0001658,              0.0001658,              0.0001658
                    104,                0.86261,                 0.8077,                 1.0167,                0.91884,                0.98734,                  0.995,                0.69419,                 1.0244,                0.66549,                 1.2125,             0.00015992,             0.00015992,             0.00015992
                    105,                0.88447,                0.78715,                0.98422,                0.91007,                      1,                  0.995,                0.69417,                 1.0196,                 0.6737,                 1.2162,             0.00015412,             0.00015412,             0.00015412
                    106,                0.85057,                0.81339,                 1.0098,                0.91007,                      1,                  0.995,                0.69417,                 1.0196,                 0.6737,                 1.2162,             0.00014841,             0.00014841,             0.00014841
                    107,                0.87487,                0.82517,                0.99012,                0.91007,                      1,                  0.995,                0.69417,                 1.0196,                 0.6737,                 1.2162,             0.00014277,             0.00014277,             0.00014277
                    108,                0.89932,                0.79066,                 1.0384,                0.91852,                      1,                  0.995,                0.68374,                 1.0109,                0.67588,                 1.2162,             0.00013722,             0.00013722,             0.00013722
